timestamp,price_usd
2025-04-27 05:45:20.086694+00:00,93943.0
2025-04-27 05:50:20.149638+00:00,93971.0
2025-04-27 05:55:20.213377+00:00,93955.0
2025-04-27 06:00:20.272507+00:00,93935.0
2025-04-27 06:05:20.325099+00:00,93973.0
2025-04-27 06:10:20.375029+00:00,94010.0
2025-04-27 06:15:20.435203+00:00,94043.0
2025-04-27 06:20:20.489500+00:00,94029.0
2025-04-27 06:25:20.556228+00:00,94052.0
2025-04-27 06:30:20.617852+00:00,94029.0
2025-04-27 06:35:20.693038+00:00,94007.0
2025-04-27 06:40:20.734947+00:00,93993.0
2025-04-27 06:45:20.781090+00:00,93994.0
2025-04-27 06:50:20.846980+00:00,93951.0
2025-04-27 06:55:20.894427+00:00,93933.0
2025-04-27 07:00:20.964808+00:00,94013.0
2025-04-27 07:05:21.118412+00:00,94061.0
2025-04-27 07:10:21.184717+00:00,94051.0
2025-04-27 07:15:21.250558+00:00,93997.0
2025-04-27 07:20:21.314984+00:00,94068.0
2025-04-27 07:25:21.363001+00:00,94092.0
2025-04-27 07:30:21.431100+00:00,94097.0
2025-04-27 07:35:21.487878+00:00,94119.0
2025-04-27 07:40:21.539568+00:00,94086.0
2025-04-27 07:45:21.600717+00:00,94079.0
2025-04-27 07:50:21.643711+00:00,94118.0
2025-04-27 07:55:21.704428+00:00,94130.0
2025-04-27 08:00:21.765784+00:00,94107.0
2025-04-27 08:05:21.835220+00:00,94092.0
2025-04-27 08:10:21.897454+00:00,94074.0
2025-04-27 08:15:21.958686+00:00,94099.0
2025-04-27 08:20:22.025047+00:00,94140.0
2025-04-27 08:25:22.092881+00:00,94200.0
2025-04-27 08:30:22.159563+00:00,94207.0
2025-04-27 08:35:22.221374+00:00,94241.0
2025-04-27 08:40:22.293528+00:00,94218.0
2025-04-27 08:45:22.367688+00:00,94235.0
2025-04-27 08:50:22.447941+00:00,94278.0
2025-04-27 08:55:22.530990+00:00,94284.0
2025-04-27 09:00:22.617720+00:00,94247.0
2025-04-27 09:05:22.689487+00:00,94217.0
2025-04-27 09:10:22.767214+00:00,94181.0
2025-04-27 09:15:22.848024+00:00,94169.0
2025-04-27 09:20:22.924843+00:00,94185.0
2025-04-27 09:25:22.998557+00:00,94211.0
2025-04-27 09:30:23.074832+00:00,94185.0
2025-04-27 09:35:23.151335+00:00,94168.0
2025-04-27 09:40:23.225921+00:00,94164.0
2025-04-27 09:45:23.299984+00:00,94203.0
2025-04-27 09:50:23.393058+00:00,94223.0
2025-04-27 09:55:23.474300+00:00,94184.0
2025-04-27 10:00:23.555413+00:00,94183.0
2025-04-27 10:05:23.627993+00:00,94168.0
2025-04-27 10:10:23.702162+00:00,94161.0
2025-04-27 10:15:23.786476+00:00,94183.0
2025-04-27 10:20:23.879134+00:00,94163.0
2025-04-27 10:25:23.959054+00:00,94129.0
2025-04-27 10:30:24.035833+00:00,94106.0
2025-04-27 10:35:24.221640+00:00,94076.0
2025-04-27 10:40:24.303088+00:00,94062.0
2025-04-27 10:45:24.372758+00:00,94037.0
2025-04-27 10:50:24.441796+00:00,94036.0
2025-04-27 10:55:24.522078+00:00,94036.0
2025-04-27 11:00:24.598273+00:00,94043.0
2025-04-27 11:05:24.701030+00:00,94071.0
2025-04-27 11:10:24.782097+00:00,94038.0
2025-04-27 11:15:24.869988+00:00,94020.0
2025-04-27 11:20:24.954981+00:00,94000.0
2025-04-27 11:25:25.022198+00:00,94004.0
2025-04-27 11:30:25.089716+00:00,93961.0
2025-04-27 11:35:25.158130+00:00,93992.0
2025-04-27 11:40:25.234082+00:00,94019.0
2025-04-27 11:45:25.323938+00:00,93967.0
2025-04-27 11:50:25.405257+00:00,93976.0
2025-04-27 11:55:25.517695+00:00,94017.0
2025-04-27 12:00:25.612676+00:00,94000.0
2025-04-27 12:05:25.695322+00:00,93955.0
2025-04-27 12:10:25.785372+00:00,93927.0
2025-04-27 12:15:25.864080+00:00,93886.0
2025-04-27 12:20:25.931983+00:00,93885.0
2025-04-27 12:25:26.011095+00:00,93886.0
2025-04-27 12:30:26.109903+00:00,93862.0
2025-04-27 12:35:26.194098+00:00,93800.0
2025-04-27 12:40:26.285581+00:00,93808.0
2025-04-27 12:45:26.363308+00:00,93819.0
2025-04-27 12:50:26.442609+00:00,93884.0
2025-04-27 12:55:26.532737+00:00,93828.0
2025-04-27 13:00:26.614465+00:00,93818.0
2025-04-27 13:05:26.683805+00:00,93827.0
2025-04-27 13:10:26.769658+00:00,93767.0
2025-04-27 13:15:26.837345+00:00,93824.0
2025-04-27 13:20:26.903197+00:00,93833.0
2025-04-27 13:25:26.985232+00:00,93849.0
2025-04-27 13:30:27.056179+00:00,93811.0
2025-04-27 13:35:27.129289+00:00,93871.0
2025-04-27 13:40:27.200814+00:00,93928.0
2025-04-27 13:45:27.272615+00:00,93994.0
2025-04-27 13:50:27.347924+00:00,94008.0
2025-04-27 13:55:27.412846+00:00,93996.0
2025-04-27 14:00:27.603039+00:00,94041.0
2025-04-27 14:05:27.748871+00:00,94050.0
2025-04-27 14:10:27.814529+00:00,94053.0
2025-04-27 14:15:27.898515+00:00,94016.0
2025-04-27 14:20:27.970092+00:00,94038.0
2025-04-27 14:25:28.046447+00:00,94124.0
2025-04-27 14:30:28.137734+00:00,94087.0
2025-04-27 14:35:28.250110+00:00,94079.0
2025-04-27 14:40:28.391945+00:00,94111.0
2025-04-27 14:45:28.514448+00:00,94096.0
2025-04-27 15:00:28.767208+00:00,94013.0
